"category","book_uid","title","pub_date","sell_num","rating","author_intro","book_intro","toc","publisher","page_count","pub_date_clean","pub_date_parsed","pub_year","list_price","sale_price","author_names","translator_names","illustrator_names","raw_text","author_count","pub_type","publisher_type","publisher_group"
"001001047001","book_145423045","스무하루","2025- 04- 03",3552,9.9,"말이 어려워서 글을 썼다. 쓰면서 조금씩 말이 틔었다. 그러다 어설퍼서 실수하곤 했는데, 그럼 그걸 다시 글로 썼다. 글을 쓰고, 쓴 대로 살아가길 바라면서.　문장 수는 늘어나도 말은 여전히 짧다. 문장도 적당히 쓰고 싶고 말도 적당히 하고 싶다.","마음을 울렸다고, 내 글을 읽은 글동무들이 내게 말했다. 기쁨이 차올랐다. 수많은 조회수와 ‘좋아요’로도 허전하기만 했던 마음이 단 몇 사람의 목소리와 눈빛으로 넘치도록 채워졌다.사람에게는 그런 힘이 있었다.외로운 글쓰기에 지쳐가던 내게 책방 '지금 니 생각 중이야'에서 지핀 군불이 나를 살렸다. 계속 글을 써도 괜찮겠다는 생각이 들었다.더 나답게, 더 재밌게, 더 아름답게 쓰고 싶어졌다. 그리고 그렇게 살고 싶어졌다.","프롤로그 1장 - 거창할 거 없지 뭐 …… 소바 어지간히 어색했구나 …… 21 비굴한 사과 …… 23 ‘나’라는 답 …… 24 뭐라고요? …… 27 그냥 모른다고 할 걸 …… 29 내가 듣고 싶은 말 …… 31 빵집, 계속할 거야? …… 32 그게 다야 …… 33 매일을 그렇게 …… 34 나는 언니가 좋아요 …… 35 말동무가 되어 줄게 …… 37 에필로그 …… 39 2장 - 노크해도 될까요? …… 월든 다시 그 아이 …… 43 사랑이 고파서 …… 44 엄마의 사정 …… 45 나중에 만나요 …… 46 궁금했던 창문들 …… 48 같이 걸을래? …… 49 프리지어 …… 50 사람이 보이면 좋겠다 …… 51 유쾌한 삽질 …… 52 온 마음을 다한 후에 …… 53 먼저 다가가는 마음 …… 54 에필로그 …… 55 3장 - 곁에 있지만 그립다 …… 바람결 내가 사랑하는 것에서 …… 59 무심히 …… 60 흉터 …… 62 다정한 배려 …… 64 아버지라서 품고 사는 …… 65 꾸벅꾸벅 …… 66 나 혼자서 …… 68 성실한 마음 …… 69 같이 걸어요 …… 71 눈을 맞추고, 웃고, 이야기 나누는 …… 72 언젠가는 이곳에 없을지도 …… 73 에필로그 …… 75 4장 - 괜찮아 살아도 돼 …… 붕어빵 사랑 …… 79 신념 …… 80 history …… 81 탱탱볼 …… 83 척 …… 85 MBTI …… 86 욕심 …… 88 험담 …… 89 실행 …… 90 real …… 91 now …… 93 에필로그 …… 94 5장 - 느슨해지는 찰나 …… 스텔라 하늘이 짠하다 …… 97 같은 공간, 다른 감정 …… 98 진실이 고파서 …… 100 뜨거운 안도감 …… 101 반어법 …… 103 잔잔한 축제 …… 105 바다에서 바다까지 …… 107 잠시라도 덮어줄 것 같은 …… 109 약속 잡고 싶지 않은 날 …… 110 덤으로 …… 112 노트 한 권과 묵주 …… 114 에필로그 …… 1156장 - 쓰는 마음 …… 키쿠 모험 …… 119 대가 …… 120 우울 …… 121 걷기 …… 122 직면 …… 123 내일 …… 124 추억 …… 125 인연 …… 126 성장 …… 127 인생 …… 128 고요 …… 129 에필로그 …… 1307장 - 그냥 그럴 때 있죠 …… 해바라기 설명할 수 없는 웃음 …… 133 농담인 척 …… 134 너는 내가 될 수 없기에 …… 136 타인의 고통일 뿐 …… 138 서로의 독백 …… 139 사과에 대한 착각 …… 140 진정한 유머 …… 142 우리가 할 수 있는 것만 …… 143 살아낸다는 것은 …… 144 사랑하는 마음일 때는 …… 145 같이 있어 주는 것만으로도 …… 146 에필로그 …… 147 8장 - 조금씩, 천천히, 꾸준히 …… 지니 ‘나’ 던지기 …… 151 걸어 다니는 거울 …… 154 무쓸모의 쓸모 있음 …… 155 아무 말이나 하는 대화 …… 157 듣는 연주자 …… 158 하늘의 공무원 …… 159 디지몬 어드벤처 …… 161 유토피아와 로또 …… 163 꿈을 끼워 넣는 퍼즐 …… 165 지치지 않는 약 …… 167 에필로그 …… 169","BOOKK(부크크)",172,"2025-04-03",2025-04-03,2025,15300,15300,"소바, 월든, 바람결, 붕어빵, 스텔라, 키쿠, 해바라기, 지니",NA,NA,"소바, 월든, 바람결, 붕어빵, 스텔라, 키쿠, 해바라기, 지니",8,"BOOKK","POD","POD"
"001001047001","book_116209595","하필이면 네 향수가 그리운 어느 여름밤을 닮아서","2022- 11- 30",3120,NA,NA,NA,NA,"BOOKK(부크크)",81,"2022-11-30",2022-11-30,2022,16000,16000,"김나윤",NA,NA,"
            김나윤 저
        ",1,"BOOKK","POD","POD"
"001001047001","book_125201917","RE : 검은 장미","2024- 02- 20",2970,NA,".","검은 장미 - 6여름의 정상에 서서 - 53부패하지 않는 방법 - 57","검은 장미 - 6여름의 정상에 서서 - 53부패하지 않는 방법 - 57","BOOKK(부크크)",60,"2024-02-20",2024-02-20,2024,7200,7200,"하연",NA,NA,"
            하연 저
        ",1,"BOOKK","POD","POD"
"001001047001","book_135855434","황금 멘탈을 만드는 60가지 열쇠","2024- 10- 29",2046,10,"대한민국 1호 출판 프로듀서이자, 자이언트 북 컨설팅 대표, 작가, 강연가, 칼럼니스트이다. 전과자, 파산자, 알코올 중독자, 막노동꾼 등 최악의 삶을 살다가 글쓰기와 책 읽기로 새로운 인생을 만들어가고 있다. 2016년 5월, [작가수업] 운영을 시작했으며, 2023년 12월 현재 583호 작가 배출이라는 경이적인 성과를 창출했다. 급변하는 시대를 살면서 치유와 성장을 도모할 수 있는 유일한 길은 오직 “읽고 쓰는 삶”뿐이라는 철학을 가지고 오늘도 변함없이 집필과 강연에 힘쓴다. 저서로는 《내가 글을 쓰는 이유》, 《최고다 내 인생》, 《아픔공부》, 《강强안眼독서》, 《책쓰기》 , 《일상과 문장 사이》, 《작가의 인생 공부》 등이 있다.","무너졌다는 사실에 집중하지 말고다시 일어선다는 사실에만 초점을 맞춰라!멘탈 트레이너 이은대가 경험을 바탕으로 제안하는60가지 멘탈 강화 비법강한 멘탈은 타고나는 것이 아니라꾸준한 선택과 노력으로 단련되는 것이다!인생 멘토 이은대가 전하는도전과 성취의 60가지 성공 철학살아가는 데, 성공하는 데 가장 중요한 것은 무엇일까? 그것은 ‘멘탈’이다. 멘탈이 강한 사람은 포기하지 않는다. 쓸데없는 걱정으로 불안해하기보다 지금 당장 할 수 있는 일을 한다. 마음이 굳은 사람, 신념이 투철한 사람은 선택 앞에서 주저하지 않는다.저자 이은대는 과거 사업 실패로 파산하고 옥살이까지 했다. 감옥에서 그가 붙잡을 것은 오직 독서와 글쓰기였다. 삶에 대한 의지와 성공에 대한 열망으로 굳센 멘탈을 만들었다. 그러고 나니 세상이 달라 보이기 시작했다. 출소 후 막노동판을 전전하면서도 즐거운 마음으로 늘 웃었고, 신경병에 걸려 삶을 포기하고 싶을 정도의 통증을 겪으면서도 희망을 놓지 않았다.지금 그는 글쓰기 코칭 전문 기업 ‘자이언트 북 컨설팅’의 대표로서 600명이 넘는 작가를 배출하며 성공 가도를 달리고 있다. 본인의 경험을 바탕으로 하여 자기 계발 전문 강사로도 활동한다. 쓰러지고 무너져도 일어나게 하며 지금까지와는 전혀 다른 삶을 살게 하는 황금 멘탈이 무엇인지, 황금 멘탈을 가지려면 어떻게 해야 하는지에 대한 그의 인생 이야기를 함께 들여다보자.","들어가는 글1. 첫 번째 열쇠 - 자신의 결정이 최고가 되도록2. 두 번째 열쇠 - 독서, 다시 일어서는 힘3. 세 번째 열쇠 - 영원히 힘든 사람은 없다4. 네 번째 열쇠 - 한 우물만 파야 물이 솟는다5. 다섯 번째 열쇠 - 최악일 때 긍정의 가치가 빛난다6. 여섯 번째 열쇠 - 절실함과 필요성, ‘Why’가 중요하다7. 일곱 번째 열쇠 - 다른 사람 인생에 관심 갖지 말기8. 여덟 번째 열쇠 - 여기가 끝이 아니다9. 아홉 번째 열쇠 - 무너져도 괜찮다, 다시 일어서기만 하면10. 열 번째 열쇠 - 천하 쓸모없는 짓이 내일 걱정이다11. 열한 번째 열쇠 - 멘탈 약해도 된다는 생각이 핵심12. 열두 번째 열쇠 - 웃음과 목소리의 위력13. 열세 번째 열쇠 - ‘좋은 생각’ 스위치14. 열네 번째 열쇠 - 문제보다 해결책에 집중하라15. 열다섯 번째 열쇠 - 인간관계에 연연하지 마라16. 열여섯 번째 열쇠 - 마음 지친 날에는 ‘수고일기’ 써보기17. 열일곱 번째 열쇠 - 가난을 기대하는 습관 없애기18. 열여덟 번째 열쇠 - 삶에 대한 권리에 익숙해져라19. 열아홉 번째 열쇠 - 아름답게, 나답게20. 스무 번째 열쇠 - 자존심은 버리고, 자존감은 세우고21. 스물한 번째 열쇠 - 호들갑 떨지 않는다22. 스물두 번째 열쇠 - 남 탓 세상 탓, 판사 말고 행동가23. 스물세 번째 열쇠 - 적어도 한 시간은 고요할 수 있어야 한다24. 스물네 번째 열쇠 - 책 한 권을 쓸 수 있는 힘25. 스물다섯 번째 열쇠 - 나는 태양이며, 나는 잡초다26. 스물여섯 번째 열쇠 - 평균에 만족하는 이들과 결별하라27. 스물일곱 번째 열쇠 - 나는 언제나 더 나아질 수 있다28. 스물여덟 번째 열쇠 - 무시하고 버릴 줄 알아야 한다29. 스물아홉 번째 열쇠 - 더 나은 사람이 되면 더 나은 삶을 만날 수 있다30. 서른 번째 열쇠 - 몸을 앞으로 숙여야 한다31. 서른한 번째 열쇠 - 플러스 알파를 기억하라32. 서른두 번째 열쇠 - 행동이 동기를 유발한다33. 서른세 번째 열쇠 - 일기, 나에게 관심 갖기34. 서른네 번째 열쇠 - ‘자뻑’은 최고의 에너지 드링크35. 서른다섯 번째 열쇠 - 마인드셋 장착하기36. 서른여섯 번째 열쇠 - 어렵고 힘든 일을 선택하라37. 서른일곱 번째 열쇠 - 내가 겪은 가장 정확한 사자성어, ‘새옹지마’38. 서른여덟 번째 열쇠 - 가치 우선순위를 명확하게 정하라39. 서른아홉 번째 열쇠 - 끝까지 버티는 놈이 이긴다40. 마흔 번째 열쇠 - 이름을 정확히 불러야 길이 보인다41. 마흔한 번째 열쇠 - 변화, 한 번은 숨이 콱 막혀야 한다42. 마흔두 번째 열쇠 - 지금 여기보다 완벽한 세상은 없다43. 마흔세 번째 열쇠 - 시간과 노력을 지불해야 한다44. 마흔네 번째 열쇠 - 과소평가, 과대평가, 모두 재앙이다45. 마흔다섯 번째 열쇠 - 최악인 상황에서 버티기46. 마흔여섯 번째 열쇠 - 행복하기 위해서가 아니라 행복한 상태에서47. 마흔일곱 번째 열쇠 - 작은 고민들을 순식간에 사라지게 만드는 질문48. 마흔여덟 번째 열쇠 - 먼저 그 사람이 되고, 다음으로 그 일을 하면 된다49. 마흔아홉 번째 열쇠 - 무엇을 버릴 것인가50. 쉰 번째 열쇠 - 삶을 파괴하는 것은 탐욕이다51. 쉰한 번째 열쇠 - 모든 것은 사라진다52. 쉰두 번째 열쇠 - 무엇에 집중하고 있는가53. 쉰세 번째 열쇠 - 의미를 부여하는 힘54. 쉰네 번째 열쇠 - 무시하고 단절하고 거부하라55. 쉰다섯 번째 열쇠 - 바꾸지 말고 더 나아져라56. 쉰여섯 번째 열쇠 - 마음 전쟁에서 이기는 게 먼저다57. 쉰일곱 번째 열쇠 - 과거의 실패를 오늘의 선택에 대한 변명으로 삼지 마라58. 쉰여덟 번째 열쇠 - 마음의 채널을 바꾸는 연습59. 쉰아홉 번째 열쇠 - 적응하고, 벗어난다60. 예순 번째 열쇠 - 사소한 일에 목숨 걸지 마라마치는 글","북랩",262,"2024-10-29",2024-10-29,2024,16800,15120,"이은대",NA,NA,"
            이은대 저
        ",1,"Others","POD","POD"
"001001047001","book_126016562","교감으로 산다는 것","2024- 04- 09",1962,10,"등록금이 저렴하고 군대도 안 가도 되는 대학이 있다는 고3 담임 선생님의 권유로 교육대학교에 들어갔다. 대학 입학 후에야 군대 안 가는 제도가 이미 없어졌다는 것을 알게 되었다. 대한민국 강철 부대 703특공부대 중위로 전역했다. 1996년 강릉 무장공비 침투 사건에 투입되었다. 첫 부임지는 1,089m 높이의 운두령 산자락에 위치한 3학급 초등학교에서 교사 생활을 했다. 2021년에 교감으로 부임하여 극한 직업을 살아가고 있다. 책을 읽고 글 쓰는 일을 즐겨 한다. 블로그 '이창수의 서재'에 2,000여권의 독서 기록을 남기고 있다. 브런치 작가(@book_woods)로 활동하고 있으며 2021년 『교사여서 다행이다』의 책을 출간했다.","들어가며1장 교감으로 산다는 것은새로 쓰는 교감 취임사 / 14선생님, 죄송합니다. / 16당신이 잘되면 좋겠습니다. / 18진심보다 더 감동적인 것은 / 20안녕하십니까? 심사번호 0-0입니다. / 23왜 그 일을 하냐고 물어보신다면 / 25관계가 중요하다. / 27도전한다는 것은 / 29늘 걱정이다. / 31고스란히 상처로 남는다. / 33주인공들이 강릉에 온다. / 35함께 읽어 볼 책 / 382장 교감으로 버틴다는 것은책으로 버틴다. / 45글을 쓸 때는 바로 지금이다. / 49낯선 세상을 여행하는 방법 / 52바로 독서 자본에서 시작된다. / 54매일 쓰기 위해 매일 읽는다. / 58매일 블로그로 출근한다. / 61독서로 시간을 보낼 여유는 없지만 / 65오늘의 일들을 기록해 내고 / 68Publish or Perish / 71오늘은 무슨 주제로 쓸까? / 74책 읽기를 흉내 낸다. / 77책 읽기의 마무리는 서평이다. / 80책이 나를 읽는다. / 84함께 읽어 볼 책 / 873장 교감으로 존재한다는 것은오늘도 교직원들께 배웁니다. / 93교감이 교감을 알아본다. / 96설레는 마음은 잠깐, 사서 고생 / 99여백이 필요하다. / 102고독을 이겨내는 것 / 104사람보다 소문이 먼저 간다. / 106기억력에 의존할 수 없을 때 / 110감정을 쏟아낼 곳이 없을 때 / 114한 사람을 알아가는 것 / 117플레잉 코치로 살아가는 것 / 121함께 읽어 볼 책 / 1244장 교감으로 만난다는 것은토요일 아침부터 / 131상담이 아니라 대화로 / 133통제하고 관리하려는 마음이 / 136자존심이 상하더라도 / 139공감이 아니라 감정노동을 / 142싸우지 않는 것이 중요하다. / 144거침없는 돌직구가 날아 오다. / 146민원을 통해 한 수 배우다. / 148교감과 직접 통화하고 싶다고? / 150정서를 살피는 일 / 153특이민원을 만날 때 / 155민원주의 시대를 살아가며 / 157함께 읽어 볼 책 / 1605장 교감으로 만족한다는 것은담임 선생님이 최고입니다. / 167학부모 앞에서 강연할 때 / 170교감도 방학이 좋다. / 172내가 그토록 꿈꾸던 것을 / 175자연스럽게 늙어가는 것 / 177사람의 마음을 움직이는 것 / 179사람을 구할 때 / 181하루만 비워도 불안하지만 / 183무두절로 기쁨을 줄 수 있다면 / 185곤란한 일이 없었으면 / 188해결사의 본능이 드러날 때 / 191관계가 막힘없이 흘러갈 때 / 195함께 읽어 볼 책 / 198나오며","들어가며1장 교감으로 산다는 것은새로 쓰는 교감 취임사 / 14선생님, 죄송합니다. / 16당신이 잘되면 좋겠습니다. / 18진심보다 더 감동적인 것은 / 20안녕하십니까? 심사번호 0-0입니다. / 23왜 그 일을 하냐고 물어보신다면 / 25관계가 중요하다. / 27도전한다는 것은 / 29늘 걱정이다. / 31고스란히 상처로 남는다. / 33주인공들이 강릉에 온다. / 35함께 읽어 볼 책 / 382장 교감으로 버틴다는 것은책으로 버틴다. / 45글을 쓸 때는 바로 지금이다. / 49낯선 세상을 여행하는 방법 / 52바로 독서 자본에서 시작된다. / 54매일 쓰기 위해 매일 읽는다. / 58매일 블로그로 출근한다. / 61독서로 시간을 보낼 여유는 없지만 / 65오늘의 일들을 기록해 내고 / 68Publish or Perish / 71오늘은 무슨 주제로 쓸까? / 74책 읽기를 흉내 낸다. / 77책 읽기의 마무리는 서평이다. / 80책이 나를 읽는다. / 84함께 읽어 볼 책 / 873장 교감으로 존재한다는 것은오늘도 교직원들께 배웁니다. / 93교감이 교감을 알아본다. / 96설레는 마음은 잠깐, 사서 고생 / 99여백이 필요하다. / 102고독을 이겨내는 것 / 104사람보다 소문이 먼저 간다. / 106기억력에 의존할 수 없을 때 / 110감정을 쏟아낼 곳이 없을 때 / 114한 사람을 알아가는 것 / 117플레잉 코치로 살아가는 것 / 121함께 읽어 볼 책 / 1244장 교감으로 만난다는 것은토요일 아침부터 / 131상담이 아니라 대화로 / 133통제하고 관리하려는 마음이 / 136자존심이 상하더라도 / 139공감이 아니라 감정노동을 / 142싸우지 않는 것이 중요하다. / 144거침없는 돌직구가 날아 오다. / 146민원을 통해 한 수 배우다. / 148교감과 직접 통화하고 싶다고? / 150정서를 살피는 일 / 153특이민원을 만날 때 / 155민원주의 시대를 살아가며 / 157함께 읽어 볼 책 / 1605장 교감으로 만족한다는 것은담임 선생님이 최고입니다. / 167학부모 앞에서 강연할 때 / 170교감도 방학이 좋다. / 172내가 그토록 꿈꾸던 것을 / 175자연스럽게 늙어가는 것 / 177사람의 마음을 움직이는 것 / 179사람을 구할 때 / 181하루만 비워도 불안하지만 / 183무두절로 기쁨을 줄 수 있다면 / 185곤란한 일이 없었으면 / 188해결사의 본능이 드러날 때 / 191관계가 막힘없이 흘러갈 때 / 195함께 읽어 볼 책 / 198나오며","BOOKK(부크크)",202,"2024-04-09",2024-04-09,2024,15600,15600,"이창수",NA,NA,"
            이창수 저
        ",1,"BOOKK","POD","POD"
